rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
484,Ryan Harrison,United States,USA,73,40,2017-07-17,0,0,1160
485,Hugo Nys,Monaco,MON,73,327,2019-07-29,0,0,131
486,Johan Sebastien Tatlot,France,FRA,73,226,2018-09-17,0,0,248
487,Lloyd Glasspool,United Kingdom,GBR,73,282,2016-07-25,0,0,175
488,Mircea Alexandru Jecan,Romania,ROU,73,450,2020-02-10,0,0,73
489,Strong Kirchheimer,United States,USA,73,464,2020-03-02,0,0,73
490,Pol Toledo Bague,Spain,ESP,73,372,2018-08-06,0,0,114
491,Martin Cuevas,Uruguay,URU,72,271,2018-04-09,0,0,194
492,Jacopo Berrettini,Italy,ITA,72,389,2019-06-24,0,0,87
493,Aldin Setkic,Bosnia and Herzegovina,BIH,72,165,2017-10-16,0,0,321
494,Thomas Laurent,France,FRA,71,471,2020-03-09,0,0,71
495,Renta Tokuda,Japan,JPN,71,289,2018-08-27,0,0,171
496,Alvaro Lopez San Martin,Spain,ESP,71,349,2017-01-30,0,0,136
497,Yu Hsiou Hsu,"Taiwan, Province of China",TPE,71,458,2020-08-24,0,0,71
498,Ivan Gakhov,Russian Federation,RUS,71,275,2017-10-09,0,0,177
499,Elmar Ejupovic,Bosnia and Herzegovina,BIH,70,381,2018-10-08,0,0,106
500,Adam Moundir,Switzerland,SUI,70,437,2019-11-18,0,0,76
501,Cristian Rodriguez,Colombia,COL,70,362,2018-04-09,0,0,123
502,Marko Miladinovic,Serbia,SRB,70,451,2020-01-13,0,0,70
503,Pavel Nejedly,Czech Republic,CZE,70,452,2020-02-24,0,0,70
504,Jacob Grills,Australia,AUS,69,368,2019-08-05,0,0,99
505,Jerzy Janowicz,Poland,POL,68,14,2013-08-12,0,0,2154
506,Andres Artunedo Martinavarr,Spain,ESP,68,293,2014-03-03,0,0,160
507,Frederico Gil,Portugal,POR,66,62,2011-04-25,0,0,1038
508,Rafael Matos,Brazil,BRA,66,440,2018-05-21,0,0,86
509,Maximiliano Estevez,Argentina,ARG,66,242,2013-06-24,0,0,199
510,Pol Martin Tiffon,Spain,ESP,66,508,2020-12-07,0,0,66
511,Simone Bolelli,Italy,ITA,65,36,2009-02-23,0,0,1686
512,Tim Smyczek,United States,USA,65,68,2015-04-06,0,0,688
513,Sanjar Fayziev,Uzbekistan,UZB,65,253,2017-07-17,0,0,199
514,Jumpei Yamasaki,Japan,JPN,65,446,2019-09-30,0,0,71
515,Felix Corwin,United States,USA,65,504,2020-11-09,0,0,65
516,Alexis Galarneau,Canada,CAN,64,386,2019-06-17,0,0,64
517,Antoine Bellier,Switzerland,SUI,64,503,2016-09-19,0,0,72
518,Jordi Arconada,Argentina,ARG,64,405,2019-08-05,0,0,83
519,Giovanni Fonio,Italy,ITA,64,497,2019-04-15,38,9,66
520,Nick Hardt,Dominican Republic,DOM,64,493,2019-12-09,-1,0,64
521,Andrey Kuznetsov,Russian Federation,RUS,63,39,2016-04-25,-1,0,1093
522,Inigo Cervantes Huegun,Spain,ESP,63,56,2016-03-21,-1,0,837
523,Evan Song,United States,USA,63,314,2019-01-07,-1,0,124
524,Riccardo Balzerani,Italy,ITA,63,469,2020-01-13,-1,0,77
525,Jorge Brian Panta Herreros,Peru,PER,63,485,2020-01-13,-1,0,66
526,Wilson Leite,Brazil,BRA,63,341,2014-04-14,-1,0,129
527,Paul Jubb,United Kingdom,GBR,62,427,2019-07-22,-1,0,62
528,Alejandro Gomez Gb42,Colombia,COL,62,352,2017-03-20,-1,0,133
529,Maverick Banes,Australia,AUS,62,216,2018-08-27,-1,0,258
530,Mariano Kestelboim,Argentina,ARG,62,387,2017-09-18,-1,0,110
531,Gabriel Petit,France,FRA,62,450,2018-12-17,-1,0,82
532,Mick Veldheer,Netherlands,NED,62,509,2020-08-24,-1,0,62
533,Carlos Boluda Purkiss,Spain,ESP,62,254,2018-05-21,-1,0,220
534,Matias Zukas,Argentina,ARG,62,374,2018-12-10,-1,0,110
535,Aleksandar Kovacevic,United States,USA,61,492,2020-03-02,-1,0,61
536,Nicholas David Ionel,Romania,ROU,61,516,2020-03-09,-1,0,61
537,Fabian Marozsan,Hungary,HUN,61,516,2020-11-09,-1,0,61
538,Martin Redlicki,United States,USA,61,381,2019-04-29,-1,0,93
539,Ricardo Rodriguez,"Venezuela, Bolivarian Republic of",VEN,61,282,2014-06-09,-1,0,165
540,Santiago Fa Rodriguez Taverna,Argentina,ARG,60,508,2020-08-24,-1,0,60
541,Kyrian Jacquet,France,FRA,60,514,2020-02-03,-1,0,60
542,Marco Bortolotti,Italy,ITA,60,355,2016-04-25,-1,0,130
543,Alexander Zhurbin,Russian Federation,RUS,60,329,2018-12-24,-1,0,133
544,Alexander Shevchenko,Russian Federation,RUS,59,543,2021-01-25,-1,0,59
545,Mateus De Carvalho Cardoso Alves,Brazil,BRA,59,539,2020-12-07,-1,0,59
546,Vladyslav Manafov,Ukraine,UKR,59,327,2017-02-20,-1,0,146
547,Nicolas Alvarez Varona,Spain,ESP,58,538,2020-12-07,-1,0,58
548,Georgii Kravchenko,Ukraine,UKR,58,543,2021-01-04,-1,0,58
549,Alexandar Lazarov,Bulgaria,BUL,58,482,2019-04-08,-1,0,59
550,Matias Franco Descotte,Argentina,ARG,57,285,2019-08-12,-1,0,146
551,Simon Carr,Ireland,IRL,57,512,2020-02-03,-1,0,57
552,Tiago Cacao,Portugal,POR,57,394,2018-12-17,-1,0,100
553,Lucas Poullain,France,FRA,56,533,2020-03-02,2,1,56
554,Jordan Correia Passos Do Carmo,Brazil,BRA,56,399,2018-12-17,-1,0,97
555,Bastian Malla,Chile,CHI,56,362,2015-12-14,-3,0,123
556,Seong Chan Hong,"Korea, Republic of",KOR,55,343,2016-10-24,-2,0,134
557,Gerardo Lopez Villasenor,Mexico,MEX,55,505,2020-02-17,-1,0,57
558,Oleksii Krutykh,Ukraine,UKR,55,551,2020-12-14,0,0,55
559,Erik Crepaldi,Italy,ITA,54,282,2015-09-14,0,0,166
560,Peter Nagy,Hungary,HUN,53,409,2017-05-15,0,0,106
561,Roy Smith,United States,USA,53,310,2019-09-23,0,0,132
562,Thomas Fancutt,Australia,AUS,53,491,2019-01-28,0,0,56
563,Jaume Pla Malfeito,Spain,ESP,53,501,2019-08-05,0,0,71
564,Aidan Mchugh,United Kingdom,GBR,53,461,2019-08-19,0,0,71
565,Anton Matusevich,United Kingdom,GBR,52,550,2020-11-02,0,0,52
566,Joao Lucas Reis Da Silva,Brazil,BRA,52,553,2019-11-25,0,0,58
567,Jurgen Zopp,Estonia,EST,51,71,2012-09-10,0,0,656
568,Juan Ignacio Galarza,Argentina,ARG,51,334,2016-05-16,0,0,140
569,Takanyi Garanganga,Zimbabwe,ZIM,51,288,2014-09-22,0,0,161
570,Daniel Dutra Da Silva,Brazil,BRA,51,231,2009-05-18,0,0,310
571,Marvin Netuschil,Germany,GER,51,306,2017-06-19,0,0,158
572,Federico Zeballos,"Bolivia, Plurinational State of",BOL,51,440,2018-10-08,2,0,85
573,Marsel Ilhan,Turkey,TUR,51,77,2015-03-02,-1,0,657
574,Alexis Gautier,France,FRA,51,544,2020-02-10,-1,0,51
575,Mats Rosenkranz,Germany,GER,51,567,2020-11-09,0,0,51
576,Mate Valkusz,Hungary,HUN,50,242,2018-12-24,0,0,216
577,Juan Pablo Paz,Argentina,ARG,50,284,2017-05-08,14,4,174
578,Fermin Tenti,Argentina,ARG,50,561,2020-02-03,-1,0,50
579,Brandon Holt,United States,USA,49,456,2019-07-29,-1,0,58
580,Vasil Kirkov,United States,USA,49,570,2020-03-16,-1,0,49
581,Ben Fatael,Israel,ISR,48,416,2019-06-24,0,0,72
582,Jonathan Mridha,Sweden,SWE,48,508,2017-11-20,-2,0,65
583,Facundo Juarez,Argentina,ARG,48,558,2020-02-03,2,1,48
584,Adam El Mihdawy,United States,USA,48,281,2015-04-27,-2,0,175
585,Christian Langmo,United States,USA,48,563,2020-02-24,-2,0,48
586,Gilbert Soares Klier Junior,Brazil,BRA,47,538,2020-01-13,-2,0,48
587,Savriyan Danilov,Russian Federation,RUS,47,556,2019-11-25,-1,0,47
588,Mauricio Echazu,Peru,PER,47,379,2010-02-08,-1,0,97
589,Arnaud Bovy,Belgium,BEL,47,570,2020-01-13,-1,0,47
590,Tom Jomby,France,FRA,46,313,2018-11-12,-1,0,147
591,Arthur Reymond,France,FRA,46,581,2020-03-02,-1,0,46
592,Nicolas Alberto Arreche,Argentina,ARG,46,567,2020-03-16,0,0,54
593,Carlos Sanchez Jover,Spain,ESP,46,593,2021-02-01,5,1,46
594,Dusty H Boyer,United States,USA,46,580,2020-02-10,-1,0,46
595,Jose Fco Vidal Azorin,Spain,ESP,46,584,2019-10-28,-1,0,46
596,Andrea Basso,Italy,ITA,45,301,2018-04-23,-1,0,162
597,Nicolas Moreno De Alboran,Spain,ESP,45,580,2020-03-16,-1,0,45
598,Alexander Donski,Canada,CAN,45,563,2020-01-13,-1,0,45
599,Aleksandre Metreveli,Georgia,GEO,44,264,2016-06-06,0,0,193
600,Takuto Niki,Japan,JPN,44,278,2015-03-23,0,0,175
601,Imanol Lopez Morillo,Spain,ESP,44,568,2020-01-13,1,0,44
602,Daniele Capecchi,Italy,ITA,44,599,2020-12-21,-1,0,44
603,Kai Wehnelt,Germany,GER,44,513,2019-09-09,0,0,55
604,Harri Heliovaara,Finland,FIN,43,194,2011-12-19,0,0,253
605,Gleb Sakharov,France,FRA,43,153,2018-01-08,0,0,364
606,Matthew Christopher Romios,Australia,AUS,43,563,2019-09-23,0,0,43
607,Ryota Tanuma,Japan,JPN,43,518,2018-10-15,0,0,65
608,Mykyta Mashtakov,Ukraine,UKR,43,575,2020-01-13,0,0,43
609,Tomas Lipovsek Puches,Argentina,ARG,43,250,2016-04-25,0,0,207
610,Pedro Vives Marcos,Spain,ESP,43,578,2020-03-02,0,0,43
611,Marvin Moeller,Germany,GER,42,504,2018-07-30,0,0,65
612,Franco Agamenone,Argentina,ARG,42,377,2017-09-11,67,10,117
613,Djurabek Karimov,Uzbekistan,UZB,42,426,2018-08-27,-1,0,90
614,Evan Zhu,United States,USA,42,495,2019-10-14,-1,0,60
615,Petr Nouza,Czech Republic,CZE,42,536,2019-08-05,-1,0,48
616,Jean Thirouin,United States,USA,42,605,2020-11-02,-1,0,42
617,Otto Virtanen,Finland,FIN,41,607,2020-11-16,-1,0,41
618,Tak Khunn Wang,France,FRA,41,265,2014-02-03,3,1,172
619,Eric Vanshelboim,Ukraine,UKR,41,615,2021-01-18,-2,0,41
620,Mark Whitehouse,United Kingdom,GBR,41,530,2019-08-19,-2,0,55
621,Sergey Fomin,Uzbekistan,UZB,41,576,2019-01-14,-2,0,41
622,Oliver Crawford,United States,USA,40,529,2019-07-29,-2,0,43
623,Tomislav Brkic,Bosnia and Herzegovina,BIH,40,212,2014-10-06,-1,0,237
624,Jonathan Eysseric,France,FRA,40,202,2013-06-10,-1,0,233
625,Sam Riffice,United States,USA,39,496,2019-07-01,-1,0,47
626,John Mcnally,United States,USA,39,470,2019-07-29,-1,0,40
627,Clement Geens,Belgium,BEL,39,245,2016-08-22,-1,0,219
628,Yuki Mochiduki,Japan,JPN,39,566,2019-11-25,-1,0,42
629,Jie Cui,China,CHN,39,568,2019-11-04,-1,0,42
630,Luca Giacomini,Italy,ITA,39,462,2019-06-24,-1,0,51
631,Emiliano Maggioli,Italy,ITA,39,569,2020-01-13,-1,0,42
632,Kristjan Tamm,Estonia,EST,39,625,2020-12-21,-1,0,39
633,Alexandr Igoshin,Russian Federation,RUS,39,494,2016-05-16,-1,0,74
634,Benjamin Sigouin,Canada,CAN,38,524,2019-07-15,-1,0,38
635,Wojciech Marek,Poland,POL,38,634,2021-01-25,-1,0,38
636,Yecong He,China,CHN,38,492,2016-06-27,-1,0,74
637,Robin Stanek,Czech Republic,CZE,38,258,2016-09-12,-1,0,198
638,Shintaro Mochizuki,Japan,JPN,38,630,2020-12-21,-1,0,38
639,Lenny Hampel,Austria,AUT,38,359,2017-07-31,-1,0,126
640,Alexis Musialek,France,FRA,38,255,2015-07-20,-1,0,186
641,Alexander Weis,Italy,ITA,38,609,2020-03-02,-1,0,38
642,Naoki Tajima,Japan,JPN,38,604,2020-01-20,-1,0,38
643,Axel Geller,Argentina,ARG,37,539,2019-08-05,-1,0,47
644,Constantin Schmitz,Germany,GER,37,552,2019-09-09,-1,0,46
645,Michal Dembek,Poland,POL,37,578,2019-11-11,-1,0,41
646,Davide Galoppini,Italy,ITA,37,489,2018-10-08,-1,0,72
647,Juan Sebastian Gomez,Colombia,COL,36,469,2015-10-05,-1,0,82
648,Ruan Roelofse,South Africa,RSA,36,357,2012-02-27,-1,0,116
649,Pietro Rondoni,Italy,ITA,36,354,2018-08-27,-1,0,124
650,Maximilian Neuchrist,Austria,AUT,36,244,2018-07-30,-1,0,229
651,Wishaya Trongcharoenchaikul,Thailand,THA,36,395,2018-10-08,-1,0,100
652,Kenny De Schepper,France,FRA,36,62,2014-04-07,5,1,737
653,Marat Deviatiarov,Ukraine,UKR,36,538,2015-05-25,-2,0,61
654,Clement Tabur,France,FRA,36,600,2019-10-28,-2,0,38
655,Kevin Krawietz,Germany,GER,35,211,2018-12-17,-2,0,249
656,Lamine Ouahab,Algeria,ALG,35,114,2009-09-21,-2,0,571
657,Ryan Shane,United States,USA,35,333,2019-07-29,-2,0,104
658,Gauthier Onclin,Belgium,BEL,35,643,2020-09-28,-2,0,35
659,Dimitriy Voronin,Russian Federation,RUS,35,566,2019-09-23,-1,0,48
660,Simone Roncalli,Italy,ITA,35,561,2018-12-24,-1,0,56
661,Valentin Royer,France,FRA,34,645,2020-11-02,-1,0,34
662,Jaroslav Pospisil,Czech Republic,CZE,34,103,2011-05-23,-1,0,508
663,Adrian Obert,Germany,GER,34,631,2020-02-17,-1,0,34
664,Yan Bondarevskiy,Russian Federation,RUS,34,590,2019-11-11,-1,0,40
665,Kelsey Stevenson,Canada,CAN,34,654,2020-11-30,-1,0,34
666,Manish Sureshkumar,India,IND,34,508,2018-11-19,-1,0,68
667,Denys Klok,Ukraine,UKR,34,514,2018-09-24,-1,0,66
668,Arjun Kadhe,India,IND,34,328,2018-08-27,-1,0,139
669,Patrik Rikl,Czech Republic,CZE,33,392,2018-10-01,-1,0,102
670,Emilio Nava,United States,USA,33,575,2019-05-13,-1,0,33
671,Joao Pedro Sorgi,Brazil,BRA,33,251,2017-09-18,-1,0,201
672,Fabien Reboul,France,FRA,33,327,2018-12-24,-1,0,134
673,Robert Strombachs,Germany,GER,33,518,2019-09-30,-1,0,54
674,Alexander Crnokrak,Australia,AUS,33,647,2020-08-24,-1,0,33
675,Ronan Joncour,France,FRA,33,574,2019-09-16,-1,0,42
676,Jakub Paul,Switzerland,SUI,33,558,2019-01-14,-1,0,35
677,Dennis Uspensky,United States,USA,33,629,2020-02-17,-1,0,33
678,Benjamin Dhoe,Belgium,BEL,33,637,2019-08-19,-1,0,35
679,Andrey Chepelev,Russian Federation,RUS,33,437,2018-10-08,-1,0,83
680,Patrick Kypson,United States,USA,32,449,2019-02-18,0,0,42
681,Pablo Llamas Ruiz,Spain,ESP,32,649,2020-08-24,0,0,32
682,Matheus Pucinelli De Almeida,Brazil,BRA,32,669,2020-11-30,0,0,32
683,Dragos Nicolae Madaras,Romania,ROU,32,590,2018-12-24,1,0,51
684,Quentin Folliot,France,FRA,32,645,2020-03-09,-1,0,32
685,Luke Johnson,United Kingdom,GBR,32,671,2020-11-23,0,0,36
686,Kento Takeuchi,Japan,JPN,32,378,2015-06-29,0,0,119
687,Cayetano March,Ecuador,ECU,32,655,2020-09-14,0,0,32
688,Alexander Brown,United States,USA,31,640,2020-02-17,0,0,31
689,Thiemo De Bakker,Netherlands,NED,31,40,2010-07-19,0,0,1010
690,Rinky Hijikata,Australia,AUS,31,643,2020-02-17,0,0,31
691,Billy Harris,United Kingdom,GBR,31,609,2018-10-01,14,1,45
692,Naoki Nakagawa,Japan,JPN,31,531,2017-07-24,-1,0,63
693,Simon Freund,Sweden,SWE,31,677,2020-11-16,-1,0,31
694,Justin Butsch,United States,USA,31,678,2020-11-16,-1,0,31
695,Michal Konecny,Czech Republic,CZE,31,285,2016-07-25,-1,0,172
696,Moez Chargui,Tunisia,TUN,31,337,2018-12-24,-1,0,128
697,Karl Friberg,Sweden,SWE,31,632,2019-08-05,-1,0,39
698,Guido Ivan Justo,Argentina,ARG,31,692,2021-01-04,-1,0,31
699,Carlos Lopez Montagud,Spain,ESP,31,689,2020-12-14,-1,0,31
700,Artem Smirnov,Ukraine,UKR,30,226,2016-05-09,-1,0,233
701,Gustav Hansson,Sweden,SWE,30,540,2018-08-13,-1,0,58
702,Scott Griekspoor,Netherlands,NED,30,205,2018-08-06,-1,0,275
703,Nathan Ponwith,United States,USA,30,654,2020-02-17,-1,0,30
704,Runhao Hua,China,CHN,30,617,2019-05-27,-1,0,30
705,Calum Puttergill,Australia,AUS,30,663,2020-02-24,-1,0,30
706,Niels Lootsma,Netherlands,NED,30,423,2017-07-24,0,0,95
707,Giorgio Ricca,Italy,ITA,30,633,2019-11-25,0,0,34
708,Austin Rapp,United States,USA,30,672,2020-03-02,0,0,30
709,Ryan Nijboer,Netherlands,NED,30,502,2019-04-15,0,0,51
710,Maxime Tchoutakian,France,FRA,30,538,2018-12-10,0,0,60
711,Francesco Vilardo,Italy,ITA,30,455,2018-09-24,0,0,81
712,Nam Hoang Ly,Viet Nam,VIE,29,385,2018-11-12,0,0,105
713,Stuart Parker,United Kingdom,GBR,29,700,2020-11-30,0,0,29
714,Boris Pokotilov,Russian Federation,RUS,29,692,2020-10-12,0,0,29
715,Ivan Davydov,Russian Federation,RUS,29,668,2020-02-24,0,0,31
716,Kirill Kivattsev,Russian Federation,RUS,29,479,2019-05-27,0,0,50
717,Vladimir Ivanov,Estonia,EST,29,310,2015-07-27,0,0,150
718,Luca Castelnuovo,Switzerland,SUI,29,543,2019-08-19,0,0,48
719,Benjamin Winter Lopez,Spain,ESP,29,692,2020-03-09,0,0,29
720,Ante Pavic,Croatia,CRO,28,132,2014-10-13,0,0,429
721,Stefan Seifert,Germany,GER,28,228,2012-04-23,0,0,214
722,Zeke Clark,United States,USA,28,693,2020-02-17,0,0,28
723,Alejo Lorenzo Lingua Lavallen,Argentina,ARG,28,722,2021-01-04,0,0,28
724,Dominik Boehler,Germany,GER,28,464,2018-11-05,0,0,78
725,Shalva Dzhanashia,Russian Federation,RUS,28,582,2018-12-10,0,0,53
726,Connor Farren,United States,USA,28,685,2019-12-02,0,0,29
727,Ignacio Monzon,Argentina,ARG,28,659,2019-10-21,0,0,31
728,Daniel Brands,Germany,GER,27,51,2013-08-19,0,0,896
729,Keegan Smith,United States,USA,27,724,2020-12-21,0,0,27
730,Govind Nanda,United States,USA,27,531,2019-12-23,0,0,50
731,Gregoire Jacq,France,FRA,27,332,2018-10-29,0,0,136
732,Luca Potenza,Italy,ITA,27,727,2020-12-28,0,0,27
733,Peter Kobelt,United States,USA,27,332,2016-05-16,1,0,143
734,Gonzalo Lama,Chile,CHI,27,160,2016-06-20,-1,0,348
735,Tom Kocevar Desman,Slovenia,SLO,27,349,2015-08-17,0,0,129
736,Nik Razborsek,Slovenia,SLO,27,409,2018-12-17,0,0,92
737,Jonathan Gray,United Kingdom,GBR,27,538,2018-04-09,0,0,62
738,Markos Kalovelonis,Greece,GRE,27,445,2016-06-13,0,0,90
739,Colin Sinclair,Australia,AUS,27,410,2019-08-05,0,0,82
740,Omar Giacalone,Italy,ITA,26,327,2015-09-14,0,0,137
741,Arthur Cazaux,France,FRA,26,733,2020-12-21,0,0,26
742,Jaimee Floyd Angele,France,FRA,26,595,2019-04-22,0,0,34
743,Michel Vernier,Chile,CHI,26,706,2020-03-02,0,0,27
744,Filip Bergevi,Sweden,SWE,26,568,2019-10-21,0,0,42
745,Francisco Comesana,Argentina,ARG,26,707,2020-03-02,0,0,26
746,Brandon Walkin,Australia,AUS,26,702,2020-02-17,0,0,26
747,Paul Woerner,Germany,GER,26,644,2018-10-01,0,0,42
748,Oleg Prihodko,Ukraine,UKR,26,681,2020-02-10,0,0,35
749,Benjamin Pietri,France,FRA,26,748,2021-01-04,0,0,26
750,Jared Donaldson,United States,USA,25,48,2018-03-05,0,0,1038
751,Sergio Gutierrez Ferrol,Spain,ESP,25,156,2018-08-13,0,0,361
752,Remy Bertola,Switzerland,SUI,25,740,2020-11-30,0,0,25
753,Toby Alex Kodat,United States,USA,25,753,2021-01-18,0,0,25
754,Alec Adamson,United States,USA,25,638,2019-11-04,0,0,34
755,Maxim Ratniuk,Ukraine,UKR,25,723,2020-08-24,0,0,25
756,Alexander Cozbinov,"Moldova, Republic of",MDA,25,743,2020-03-02,0,0,25
757,Lorenzo Bocchi,Italy,ITA,25,686,2019-11-04,0,0,29
758,Alessandro Petrone,Italy,ITA,25,397,2018-10-08,0,0,99
759,Conner Huertas Del Pino,Peru,PER,25,637,2019-09-23,0,0,34
760,Aziz Ouakaa,Tunisia,TUN,25,756,2021-01-11,0,0,25
761,Hady Habib,Lebanon,LIB,24,608,2018-12-24,0,0,49
762,Kuan Yi Lee,"Taiwan, Province of China",TPE,24,447,2017-01-30,0,0,88
763,Andrew Paulson,Czech Republic,CZE,24,736,2020-10-12,0,0,24
764,Guy Orly Iradukunda,Burundi,BDI,24,610,2019-01-14,0,0,24
765,Ljubomir Celebic,Montenegro,MNE,24,437,2017-07-31,0,0,90
766,Andrea Guerrieri,Italy,ITA,24,723,2020-02-24,0,0,24
767,Dennis Novikov,United States,USA,24,119,2016-08-15,0,0,508
768,Mariano Navone,Argentina,ARG,24,758,2020-12-21,0,0,24
769,Marco Miceli,Italy,ITA,24,705,2019-11-11,0,0,27
770,Bogdan Ionut Apostol,Romania,ROU,24,568,2018-12-24,0,0,55
771,Kristian Lozan,Russian Federation,RUS,24,530,2018-11-12,0,0,65
772,Riccardo Maiga,Switzerland,SUI,24,695,2019-09-16,0,0,28
773,Chien Hsun Lo,"Taiwan, Province of China",TPE,24,403,2018-12-31,0,0,49
774,Dragos Dima,Romania,ROU,24,279,2018-09-24,0,0,183
775,Sebastian Prechtel,Germany,GER,24,694,2019-09-30,0,0,28
776,Albert Alcaraz Ivorra,Spain,ESP,23,377,2015-10-12,0,0,118
777,Laurent Rochette,France,FRA,23,202,2012-10-08,0,0,242
778,Henry Craig,United States,USA,23,589,2019-08-19,0,0,46
779,Andrey Golubev,Kazakhstan,KAZ,23,33,2010-10-04,0,0,1210
780,Titouan Droguet,France,FRA,23,768,2020-12-14,0,0,23
781,Harrison Adams,United States,USA,23,442,2019-02-18,0,0,58
782,Zachary Svajda,United States,USA,23,764,2020-11-23,0,0,23
783,Nicolae Frunza,Romania,ROU,23,442,2017-06-26,12,1,89
784,Mehluli Don Ayanda Sibanda,Zimbabwe,ZIM,23,750,2020-08-24,-1,0,23
785,Jose Olivares,Dominican Republic,DOM,23,605,2019-10-28,-1,0,37
786,Guy Den Heijer,Netherlands,NED,23,751,2020-08-24,-1,0,26
787,Dan Alexandru Tomescu,Romania,ROU,23,744,2020-02-03,-1,0,23
788,Louis Tessa,France,FRA,23,777,2020-08-24,-1,0,23
789,Simon Yitbarek,Sweden,SWE,23,661,2019-05-06,-1,0,23
790,Bart Stevens,Netherlands,NED,23,736,2019-10-14,-1,0,24
791,Alex Marti Pujolras,Spain,ESP,23,790,2021-01-25,-1,0,23
792,Nicolo Turchetti,Italy,ITA,23,568,2018-10-15,-1,0,55
793,Daniel Cukierman,Israel,ISR,22,525,2017-02-27,-1,0,67
794,Luca Nardi,Italy,ITA,22,785,2020-12-21,-1,0,22
795,Gianluca Di Nicola,Italy,ITA,22,522,2018-04-23,-1,0,61
796,Juan Bautista Otegui,Argentina,ARG,22,638,2019-08-19,0,0,34
797,Dane Sweeny,Australia,AUS,22,761,2020-08-24,0,0,22
798,Alibek Kachmazov,Russian Federation,RUS,22,782,2020-12-07,0,0,22
799,Jonas Trinker,Austria,AUT,22,755,2020-03-09,0,0,22
800,David Perez Sanz,Spain,ESP,22,216,2016-06-06,0,0,241
801,David Jorda Sanchis,Spain,ESP,22,684,2017-12-11,0,0,33
802,Damien Wenger,Switzerland,SUI,22,769,2020-02-03,0,0,22
803,Luis Faria,Brazil,BRA,22,724,2019-09-16,0,0,24
804,Toshihide Matsui,Japan,JPN,21,261,2006-06-12,0,0,151
805,Aziz Kijametovic,Bosnia and Herzegovina,BIH,21,752,2020-02-24,0,0,21
806,Tigre Hank,Mexico,MEX,21,416,2015-11-23,0,0,102
807,Franco Emanuel Egea,Argentina,ARG,21,582,2018-08-27,0,0,51
808,Joshua Ortlip,United States,USA,21,758,2020-02-24,0,0,21
809,Nicolas Barrientos,Colombia,COL,21,237,2015-09-21,0,0,212
810,Taisei Ichikawa,Japan,JPN,21,740,2020-01-06,0,0,23
811,Sandro Kopp,Austria,AUT,21,777,2020-08-31,0,0,21
812,Alberto Barroso Campos,Spain,ESP,21,812,2021-01-25,0,0,21
813,Matteo Donati,Italy,ITA,20,159,2015-07-27,0,0,331
814,Javier Marti,Spain,ESP,20,170,2012-04-23,0,0,298
815,Justin Roberts,Bahamas,BAH,20,753,2019-09-16,0,0,22
816,Gergely Madarasz,Hungary,HUN,20,618,2014-06-23,0,0,46
817,Hiroyasu Ehara,Japan,JPN,20,330,2015-09-21,0,0,141
818,Petr Michnev,Czech Republic,CZE,20,229,2017-08-07,0,0,223
819,Mwendwa Mbithi,United States,USA,20,790,2020-08-24,0,0,20
820,Takashi Saito,Japan,JPN,20,556,2015-06-15,0,0,59
821,Soichiro Moritani,Japan,JPN,20,704,2018-10-15,0,0,34
822,Kenneth Raisma,Estonia,EST,20,676,2017-05-08,0,0,34
823,Federico Iannaccone,Italy,ITA,20,628,2019-05-27,0,0,20
824,Yan Sabanin,Russian Federation,RUS,20,598,2018-04-23,0,0,47
825,Tomas Jirousek,Czech Republic,CZE,20,762,2018-12-03,0,0,28
826,Ondrej Krstev,Czech Republic,CZE,20,703,2019-11-11,0,0,27
827,Peter Bothwell,Ireland,IRL,20,602,2019-08-05,0,0,43
828,Majed Kilani,Tunisia,TUN,20,800,2020-08-24,0,0,20
829,Grigoriy Lomakin,Kazakhstan,KAZ,20,814,2020-08-24,0,0,20
830,Alejandro Mendoza,"Bolivia, Plurinational State of",BOL,20,741,2016-08-01,0,0,29
831,Igor Ribeiro Marcondes,Brazil,BRA,19,704,2017-06-19,0,0,31
832,Ye Cong Mo,China,CHN,19,778,2020-02-17,0,0,19
833,Jan Zielinski,Poland,POL,19,780,2020-02-24,0,0,19
834,Cezar Cretu,Romania,ROU,19,830,2020-12-28,0,0,19
835,Peter Bertran,Dominican Republic,DOM,19,769,2020-01-13,0,0,20
836,Julius Tverijonas,Lithuania,LTU,19,776,2019-09-23,0,0,20
837,Chukang Wang,China,CHN,19,786,2020-02-17,0,0,19
838,Zane Khan,United States,USA,19,837,2021-01-18,0,0,19
839,Calin Manda,Romania,ROU,19,811,2020-09-21,0,0,23
840,Gabriele Maria Noce,Italy,ITA,19,793,2020-02-24,0,0,19
841,Yurii Dzhavakian,Ukraine,UKR,19,704,2017-12-04,12,1,30
842,Max Houkes,Netherlands,NED,19,825,2020-11-09,-1,0,19
843,Jules Marie,France,FRA,18,228,2015-03-09,-1,0,213
844,Tristan Schoolkate,Australia,AUS,18,794,2020-02-03,-1,0,18
845,Niki Kaliyanda Poonacha,India,IND,18,605,2019-01-14,-1,0,42
846,Paul Oosterbaan,United States,USA,18,644,2019-08-12,-1,0,34
847,Cheong Eui Kim,"Korea, Republic of",KOR,18,296,2015-06-08,-1,0,156
848,Dalibor Svrcina,Czech Republic,CZE,18,836,2020-11-23,-1,0,18
