rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
220,Peter Polansky,Canada,CAN,275,110,2018-06-25,-3,0,495
221,Constant Lestienne,France,FRA,273,142,2019-01-14,6,18,384
222,Roberto Cid,Dominican Republic,DOM,265,211,2020-09-14,6,11,265
223,Matteo Viola,Italy,ITA,262,118,2013-03-18,-3,0,480
224,Elliot Benchetrit,France,FRA,260,198,2020-02-10,-3,0,260
225,Guillermo Garcia Lopez,Spain,ESP,258,23,2011-02-21,-3,0,1465
226,Borna Gojo,Croatia,CRO,258,217,2020-10-26,-3,0,258
227,Zdenek Kolar,Czech Republic,CZE,257,208,2018-08-27,-3,0,268
228,Ruben Bemelmans,Belgium,BEL,256,84,2015-09-28,-3,0,628
229,Bernard Tomic,Australia,AUS,253,17,2016-01-11,0,0,1885
230,Gian Marco Moroni,Italy,ITA,253,209,2020-08-24,0,0,264
231,Felipe Meligeni Rodrigues Alves,Brazil,BRA,253,230,2021-01-04,0,0,253
232,Andrew Harris,Australia,AUS,251,159,2019-11-11,0,0,328
233,Dudi Sela,Israel,ISR,249,29,2009-07-20,0,0,1397
234,Zhe Li,China,CHN,248,193,2019-11-11,0,0,261
235,Tobias Kamke,Germany,GER,247,64,2011-01-31,1,1,744
236,Christopher Eubanks,United States,USA,247,147,2019-04-15,-1,0,378
237,Facundo Mena,Argentina,ARG,243,195,2019-09-16,0,0,256
238,Max Purcell,Australia,AUS,241,204,2020-02-10,0,0,282
239,Nicolas Mahut,France,FRA,239,37,2014-05-05,0,0,1122
240,Nicola Kuhn,Spain,ESP,239,174,2019-10-07,0,0,292
241,Hiroki Moriya,Japan,JPN,234,143,2015-01-05,0,0,383
242,Hugo Grenier,France,FRA,234,237,2020-03-02,0,0,234
243,Kacper Zuk,Poland,POL,231,243,2021-02-01,24,22,231
244,Filippo Baldi,Italy,ITA,229,144,2019-07-29,-1,0,379
245,Tristan Lamasine,France,FRA,229,181,2015-08-03,4,5,296
246,Daniel Masur,Germany,GER,228,203,2017-06-19,-2,0,259
247,Tomas Martin Etcheverry,Argentina,ARG,228,247,2020-10-12,11,12,228
248,Marco Trungelliti,Argentina,ARG,226,112,2019-03-04,-3,0,517
249,Alexey Vatutin,Russian Federation,RUS,225,136,2018-07-02,-3,0,410
250,Julian Lenz,Germany,GER,225,227,2020-01-06,-3,0,225
251,Tung Lin Wu,"Taiwan, Province of China",TPE,224,213,2020-02-10,-1,1,224
252,Ulises Blanch,United States,USA,224,236,2020-10-12,-4,0,224
253,Roberto Quiroz,Ecuador,ECU,223,172,2019-03-18,-2,0,311
254,Mats Moraing,Germany,GER,222,148,2018-07-30,-2,0,382
255,Malek Jaziri,Tunisia,TUN,220,42,2019-01-07,-2,0,1042
256,Blaz Kavcic,Slovenia,SLO,220,68,2012-08-06,10,11,685
257,Noah Rubin,United States,USA,219,125,2018-10-08,-3,0,456
258,Yosuke Watanuki,Japan,JPN,219,171,2019-03-18,-3,0,296
259,Marcelo Tomas Barrios Vera,Chile,CHI,218,254,2020-11-30,-3,0,218
260,Jack Sock,United States,USA,217,8,2017-11-20,-3,0,3165
261,Bjorn Fratangelo,United States,USA,215,99,2016-06-06,-2,0,583
262,Pavel Kotov,Russian Federation,RUS,214,245,2020-01-06,-2,0,214
263,Yan Bai,China,CHN,213,200,2016-03-21,-2,0,260
264,Evgeny Karlovskiy,Russian Federation,RUS,212,211,2019-06-17,-2,0,255
