Brandon Nakashima,United States,387
Alessandro Giannessi,Italy,386
Maxime Cressy,France,384
Alejandro Tabilo,Chile,382
Dmitry Popko,Kazakhstan,381
Alex Bolt,Australia,380
Thomas Fabbiano,Italy,379
Yannick Maden,Germany,378
Michael Mmoh,United States,368
Marcel Granollers,Spain,367
Joao Domingues,Portugal,364
Kimmer Coppejans,Belgium,361
Arthur Rinderknech,France,361
Steven Diez,Canada,358
Roberto Marcora,Italy,352
Ernests Gulbis,Latvia,351
Roman Safiullin,Russian Federation,350
Frederico Ferreira Silva,Portugal,349
Denis Istomin,Uzbekistan,348
Filip Horansky,Slovakia,345
Tatsuma Ito,Japan,342
Jay Clarke,United Kingdom,340
Liam Broady,United Kingdom,340
Mikael Torpegaard,Denmark,340
Ramkumar Ramanathan,India,340
Mario Vilella Martinez,Spain,339
Mitchell Krueger,United States,337
Mackenzie Mcdonald,United States,335
Joao Lucas Magalhaes Hueb De Menezes,Brazil,335
Tomas Machac,Czech Republic,331
Aleksandar Vukic,Australia,331
Robin Haase,Netherlands,330
Ernesto Escobedo,United States,329
Lukas Rosol,Czech Republic,327
Lukas Lacko,Slovakia,324
Viktor Troicki,Serbia,323
Sergiy Stakhovsky,Ukraine,322
Quentin Halys,France,310
Andrea Collarini,Argentina,310
Elias Ymer,Sweden,309
Juan Pablo Ficovich,Argentina,304
Alexandre Muller,France,302
Brayden Schnur,Canada,301
Maximilian Marterer,Germany,300
Maxime Janvier,France,293
Enzo Couacaud,France,287
Thai Son Kwiatkowski,United States,283
Mathias Bourgue,France,281
Renzo Olivo,Argentina,281
Illya Marchenko,Ukraine,278
Marius Copil,Romania,277
Rudolf Molleker,Germany,273
Peter Polansky,Canada,270
Cem Ilkel,Turkey,260
Guillermo Garcia Lopez,Spain,258
Borna Gojo,Croatia,257
Matteo Viola,Italy,256
Elliot Benchetrit,France,255
Tommy Robredo,Spain,255
Constant Lestienne,France,255
Bernard Tomic,Australia,253
Ruben Bemelmans,Belgium,253
Roberto Cid,Dominican Republic,253
Andrew Harris,Australia,251
Gian Marco Moroni,Italy,250
Felipe Meligeni Rodrigues Alves,Brazil,250
Zdenek Kolar,Czech Republic,250
Dudi Sela,Israel,249
Zhe Li,China,248
Christopher Eubanks,United States,247
Tobias Kamke,Germany,246
Facundo Mena,Argentina,242
Nicolas Mahut,France,239
Max Purcell,Australia,238
Hiroki Moriya,Japan,233
Marco Trungelliti,Argentina,226
Filippo Baldi,Italy,225
Ulises Blanch,United States,224
Tung Lin Wu,"Taiwan, Province of China",223
Daniel Masur,Germany,223
Alexey Vatutin,Russian Federation,222
Mats Moraing,Germany,222
Julian Lenz,Germany,222
Malek Jaziri,Tunisia,219
Noah Rubin,United States,219
Yosuke Watanuki,Japan,219
Nicola Kuhn,Spain,219
Jack Sock,United States,217
Marcelo Tomas Barrios Vera,Chile,214
Hugo Grenier,France,214
Yan Bai,China,213
Tomas Martin Etcheverry,Argentina,212
Evgeny Karlovskiy,Russian Federation,211
Jason Kubler,Australia,210
Thanasi Kokkinakis,Australia,209
Dustin Brown,Germany,209
Kacper Zuk,Poland,209
Janko Tipsarevic,Serbia,208
Mischa Zverev,Germany,208
Adrian Menendez Maceiras,Spain,204
Tristan Lamasine,France,204
Pedja Krstin,Serbia,204
Andrea Arnaboldi,Italy,203
Blaz Kavcic,Slovenia,203
Ji Sung Nam,"Korea, Republic of",203
Guilherme Clezar,Brazil,203
Pavel Kotov,Russian Federation,202
Steve Darcis,Belgium,196
Bjorn Fratangelo,United States,195
Duck Hee Lee,"Korea, Republic of",193
Teymuraz Gabashvili,Russian Federation,192
Stefano Napolitano,Italy,191
Matthias Bachinger,Germany,189
Andrea Pellegrino,Italy,188
Chun Hsin Tseng,"Taiwan, Province of China",185
Thomaz Bellucci,Brazil,185
Akira Santillan,Australia,182
Geoffrey Blancaneaux,France,178
Viktor Galovic,Italy,177
Darian King,Barbados,176
Igor Sijsling,Netherlands,176
Goncalo Oliveira,Portugal,176
Shuichi Sekiguchi,Japan,174
Riccardo Bonadio,Italy,174
Pedro Sakamoto,Brazil,171
James Ward,United Kingdom,170
Roberto Ortega Olmedo,Spain,170
Nino Serdarusic,Croatia,168
Vit Kopriva,Czech Republic,167
Dimitar Kuzmanov,Bulgaria,166
Roberto Quiroz,Ecuador,166
Jc Aragone,United States,165
Lukas Klein,Slovakia,164
Alexander Ritschard,Switzerland,164
Sasi Kumar Mukund,India,157
Jesper De Jong,Netherlands,154
Manuel Guinard,France,154
Jack Draper,United Kingdom,153
Johannes Haerteis,Germany,152
Kevin King,United States,151
Lucas Miedler,Austria,150
Jenson Brooksby,United States,149
Orlando Luz,Brazil,149
Sebastian Baez,Argentina,149
Altug Celikbilek,Turkey,147
Michael Vrbensky,Czech Republic,146
Alex Molcan,Slovakia,145
John Patrick Smith,Australia,143
Javier Barranco Cosano,Spain,143
Andrea Vavassori,Italy,142
Jose Hernandez,Dominican Republic,142
Matthew Ebden,Australia,141
Santiago Giraldo,Colombia,140
Duje Ajdukovic,Croatia,139
Christian Lindell,Sweden,139
Di Wu,China,138
Shintaro Imai,Japan,136
Donald Young,United States,135
Giulio Zeppieri,Italy,135
Harry Bourchier,Australia,135
Mirza Basic,Bosnia and Herzegovina,134
Oriol Roca Batalla,Spain,134
Julian Ocleppo,Italy,133
Kaichi Uchida,Japan,133
Khumoun Sultanov,Uzbekistan,132
Aleksandr Nedovyesov,Kazakhstan,131
Markus Eriksson,Sweden,131
Uladzimir Ignatik,Belarus,130
Jeremy Jahn,Germany,129
Arthur De Greef,Belgium,129
Yuta Shimizu,Japan,129
Matija Pecotic,Croatia,128
Jelle Sels,Netherlands,128
Corentin Denolly,France,128
Viktor Durasovic,Norway,127
Juan Manuel Cerundolo,Argentina,126
Vaclav Safranek,Czech Republic,125
Dayne Kelly,Australia,124
Tim Van Rijthoven,Netherlands,124
Ivan Nedelko,Russian Federation,124
Nicolas Alvarez,Peru,123
Jan Choinski,Germany,122
Sekou Bangoura,United States,121
Alessandro Bega,Italy,121
Camilo Ugo Carabelli,Argentina,121
Jiri Lehecka,Czech Republic,120
Konstantin Kravchuk,Russian Federation,120
Peter Torebko,Germany,120
Vladyslav Orlov,Ukraine,119
Carlos Gomez Herrera,Spain,118
Nikolas Sanchez Izquierdo,Spain,118
Facundo Arguello,Argentina,117
Yunseong Chung,"Korea, Republic of",116
Filip Peliwo,Canada,116
Jan Satral,Czech Republic,116
Baptiste Crepatte,France,116
Jonas Forejtek,Czech Republic,115
Pablo Vivero Gonzalez,Spain,115
Nerman Fatic,Bosnia and Herzegovina,113
Michael Redlicki,United States,113
Jules Okala,France,113
Tsung Hua Yang,"Taiwan, Province of China",113
Maxime Hamou,France,113
Benjamin Hassan,Germany,111
Pedro Cachin,Argentina,111
Stefan Kozlov,United States,110
Luke Saville,Australia,110
Edan Leshem,Israel,110
Jeroen Vanneste,Belgium,108
Laurent Lokoli,France,108
Rayane Roumane,France,108
Sandro Ehrat,Switzerland,108
Ryan Peniston,United Kingdom,108
Thiago Agustin Tirante,Argentina,107
Aziz Dougaz,Tunisia,107
Hernan Casanova,Argentina,106
Raul Brancaccio,Italy,106
Denis Yevseyev,Kazakhstan,106
Agustin Velotti,Argentina,105
Skander Mansouri,Tunisia,105
Daniel Nguyen,United States,104
Michael Geerts,Belgium,104
Diego Hidalgo,Ecuador,104
Brydan Klein,Australia,103
Antoine Escoffier,France,103
Karim Mohamed Maamoun,Egypt,102
Sadio Doumbia,France,102
Carlos Gimeno Valero,Spain,101
Petros Chrysochos,Cyprus,101
Collin Altamirano,United States,101
Dan Added,France,101
Filip Cristian Jianu,Romania,100
Nuno Borges,Portugal,99
Fajing Sun,China,99
Vitaliy Sachko,Ukraine,99
Raymond Sarmiento,United States,98
Adam Pavlasek,Czech Republic,98
Facundo Diaz Acosta,Argentina,98
Oscar Jose Gutierrez,Brazil,97
Christopher Heyman,Belgium,97
Tobias Simon,Germany,96
Maxime Chazal,France,95
Gianluigi Quinzi,Italy,95
Nick Chappell,United States,95
Gastao Elias,Portugal,94
Ronald Slobodchikov,Russian Federation,93
Yshai Oliel,Israel,93
Gonzalo Villanueva,Argentina,93
Peter Heller,Germany,93
Genaro Alberto Olivieri,Argentina,93
Rio Noguchi,Japan,93
Ze Zhang,China,92
Evgeny Tyurnev,Russian Federation,92
Alexey Zakharov,Russian Federation,92
Eduardo Struvay,Colombia,91
Sebastian Fanselow,Germany,91
Laurynas Grigelis,Lithuania,90
Lucas Catarina,Monaco,90
Fabrizio Ornago,Italy,90
Evan King,United States,89
Artem Dubrivnyy,Russian Federation,89
Harold Mayot,France,88
Alexander Sarkissian,United States,88
Daniel Michalski,Poland,88
Francesco Forti,Italy,88
Bogdan Bobrov,Russian Federation,88
Manuel Pena Lopez,Argentina,88
Martins Podzus,Latvia,87
Gonzalo Escobar,Ecuador,87
Matteo Martineau,France,87
Zsombor Piros,Hungary,86
Zizou Bergs,Belgium,86
Liam Caruana,United States,85
Yusuke Takahashi,Japan,85
Patrik Niklas Salminen,Finland,85
Benjamin Lock,Zimbabwe,85
Daniel Gimeno Traver,Spain,84
Enrico Dalla Valle,Italy,84
Ergi Kirkin,Turkey,83
Timofey Skatov,Russian Federation,83
Antoine Cornut Chauvinc,France,83
Marcelo Arevalo,El Salvador,82
Alejandro Gonzalez,Colombia,82
Rogerio Dutra Silva,Brazil,81
Saketh Myneni,India,81
Luca Vanni,Italy,81
Marko Tepavac,Serbia,81
Bruno Santanna,Brazil,81
Louis Wessels,Germany,80
Alen Avidzba,Russian Federation,80
Michail Pervolarakis,Cyprus,80
Nicolas Mejia,Colombia,80
Lucas Gerch,Germany,80
Ricardo Ojeda Lara,Spain,78
Robert Quentin,France,78
Sidharth Rawat,India,78
Evan Furness,France,78
Mathieu Perchicot,France,78
Sho Shimabukuro,Japan,77
Makoto Ochi,Japan,77
David Poljak,Czech Republic,77
Marek Gengel,Czech Republic,77
Calvin Hemery,France,76
Alex Rybakov,United States,76
Evan Hoyt,United Kingdom,76
Alexander Erler,Austria,76
Miljan Zekic,Serbia,75
Holger Vitus Nodskov Rune,Denmark,75
Gijs Brouwer,Netherlands,75
Blake Mott,Australia,74
Danylo Kalenichenko,Ukraine,74
Eduard Esteve Lobato,Spain,74
Gage Brymer,United States,74
Ryan Harrison,United States,73
Hugo Nys,Monaco,73
Johan Sebastien Tatlot,France,73
Lloyd Glasspool,United Kingdom,73
Yannick Mertens,Belgium,73
David Pichler,Austria,73
Martin Cuevas,Uruguay,72
Mircea Alexandru Jecan,Romania,72
Strong Kirchheimer,United States,72
Thomas Laurent,France,71
Alvaro Lopez San Martin,Spain,71
Yu Hsiou Hsu,"Taiwan, Province of China",71
Johan Nikles,Switzerland,71
Jacopo Berrettini,Italy,71
Aldin Setkic,Bosnia and Herzegovina,71
Renta Tokuda,Japan,70
Elmar Ejupovic,Bosnia and Herzegovina,70
Cristian Rodriguez,Colombia,70
Ivan Gakhov,Russian Federation,70
Adam Moundir,Switzerland,69
Marko Miladinovic,Serbia,69
Pavel Nejedly,Czech Republic,69
Jacob Grills,Australia,69
Pol Toledo Bague,Spain,69
Jerzy Janowicz,Poland,68
Andres Artunedo Martinavarr,Spain,68
Frederico Gil,Portugal,66
Simone Bolelli,Italy,65
Tim Smyczek,United States,65
Sanjar Fayziev,Uzbekistan,65
Jumpei Yamasaki,Japan,65
Rafael Matos,Brazil,65
Maximiliano Estevez,Argentina,65
Pol Martin Tiffon,Spain,65
Alexis Galarneau,Canada,64
Jordi Arconada,Argentina,64
Nick Hardt,Dominican Republic,64
Felix Corwin,United States,64
Andrey Kuznetsov,Russian Federation,63
Inigo Cervantes Huegun,Spain,63
Evan Song,United States,63
Riccardo Balzerani,Italy,63
Paul Jubb,United Kingdom,62
Alejandro Gomez Gb42,Colombia,62
Maverick Banes,Australia,62
Jorge Brian Panta Herreros,Peru,62
Wilson Leite,Brazil,62
Aleksandar Kovacevic,United States,61
Fabian Marozsan,Hungary,61
Mariano Kestelboim,Argentina,61
Gabriel Petit,France,61
Martin Redlicki,United States,61
Carlos Boluda Purkiss,Spain,61
Matias Zukas,Argentina,61
Santiago Fa Rodriguez Taverna,Argentina,60
Nicholas David Ionel,Romania,60
Kyrian Jacquet,France,60
Mick Veldheer,Netherlands,60
Ricardo Rodriguez,"Venezuela, Bolivarian Republic of",60
Marco Bortolotti,Italy,59
Alexander Zhurbin,Russian Federation,59
Nicolas Alvarez Varona,Spain,58
Mateus De Carvalho Cardoso Alves,Brazil,58
Vladyslav Manafov,Ukraine,58
Simon Carr,Ireland,57
Bastian Malla,Chile,56
Jordan Correia Passos Do Carmo,Brazil,56
Matias Franco Descotte,Argentina,56
Alexandar Lazarov,Bulgaria,56
Tiago Cacao,Portugal,56
Seong Chan Hong,"Korea, Republic of",55
Lucas Poullain,France,55
Gerardo Lopez Villasenor,Mexico,55
Antoine Bellier,Switzerland,54
Giovanni Fonio,Italy,54
Oleksii Krutykh,Ukraine,54
Peter Nagy,Hungary,53
Roy Smith,United States,53
Thomas Fancutt,Australia,53
Jaume Pla Malfeito,Spain,53
Erik Crepaldi,Italy,53
Anton Matusevich,United Kingdom,52
Adrian Andreev,Bulgaria,52
Alexander Shevchenko,Russian Federation,52
Joao Lucas Reis Da Silva,Brazil,52
Aidan Mchugh,United Kingdom,52
Jurgen Zopp,Estonia,51
Juan Ignacio Galarza,Argentina,51
Takanyi Garanganga,Zimbabwe,51
Daniel Dutra Da Silva,Brazil,51
Alexis Gautier,France,51
Mate Valkusz,Hungary,50
Marvin Netuschil,Germany,50
Federico Zeballos,"Bolivia, Plurinational State of",50
Mats Rosenkranz,Germany,50
Brandon Holt,United States,49
Marsel Ilhan,Turkey,49
Fermin Tenti,Argentina,49
Jonathan Mridha,Sweden,48
Ben Fatael,Israel,48
Georgii Kravchenko,Ukraine,48
Vasil Kirkov,United States,48
Gilbert Soares Klier Junior,Brazil,47
Facundo Juarez,Argentina,47
Savriyan Danilov,Russian Federation,47
Adam El Mihdawy,United States,47
Mauricio Echazu,Peru,47
Christian Langmo,United States,47
Tom Jomby,France,46
Arthur Reymond,France,46
Nicolas Alberto Arreche,Argentina,46
Dusty H Boyer,United States,46
Arnaud Bovy,Belgium,46
Andrea Basso,Italy,45
Alexander Donski,Canada,45
Aleksandre Metreveli,Georgia,44
Takuto Niki,Japan,44
Imanol Lopez Morillo,Spain,44
Nicolas Moreno De Alboran,Spain,44
Gleb Sakharov,France,43
Matthew Christopher Romios,Australia,43
Daniele Capecchi,Italy,43
Ryota Tanuma,Japan,43
Mykyta Mashtakov,Ukraine,43
Tomas Lipovsek Puches,Argentina,43
Kai Wehnelt,Germany,43
Marvin Moeller,Germany,42
Djurabek Karimov,Uzbekistan,42
Pedro Vives Marcos,Spain,42
Evan Zhu,United States,42
Petr Nouza,Czech Republic,42
Otto Virtanen,Finland,41
Mark Whitehouse,United Kingdom,41
Jean Thirouin,United States,41
Oliver Crawford,United States,40
Tak Khunn Wang,France,40
Tomislav Brkic,Bosnia and Herzegovina,40
Jonathan Eysseric,France,40
Juan Pablo Paz,Argentina,40
Jose Fco Vidal Azorin,Spain,40
Sam Riffice,United States,39
John Mcnally,United States,39
Clement Geens,Belgium,39
Yuki Mochiduki,Japan,39
Jie Cui,China,39
Emiliano Maggioli,Italy,39
Kristjan Tamm,Estonia,39
Alexandr Igoshin,Russian Federation,39
Benjamin Sigouin,Canada,38
Yecong He,China,38
Robin Stanek,Czech Republic,38
Luca Giacomini,Italy,38
Shintaro Mochizuki,Japan,38
Lenny Hampel,Austria,38
Alexis Musialek,France,38
Alexander Weis,Italy,38
Axel Geller,Argentina,37
Harri Heliovaara,Finland,37
Constantin Schmitz,Germany,37
Michal Dembek,Poland,37
Juan Sebastian Gomez,Colombia,36
Ruan Roelofse,South Africa,36
Pietro Rondoni,Italy,36
Maximilian Neuchrist,Austria,36
Sergey Fomin,Uzbekistan,36
Wishaya Trongcharoenchaikul,Thailand,36
Marat Deviatiarov,Ukraine,36
Naoki Tajima,Japan,36
Kevin Krawietz,Germany,35
Lamine Ouahab,Algeria,35
Ryan Shane,United States,35
Gauthier Onclin,Belgium,35
Dimitriy Voronin,Russian Federation,35
Carlos Sanchez Jover,Spain,35
Davide Galoppini,Italy,35
Clement Tabur,France,35
Valentin Royer,France,34
Jaroslav Pospisil,Czech Republic,34
Adrian Obert,Germany,34
Yan Bondarevskiy,Russian Federation,34
Kelsey Stevenson,Canada,34
Manish Sureshkumar,India,34
Denys Klok,Ukraine,34
Arjun Kadhe,India,34
Patrik Rikl,Czech Republic,33
Wojciech Marek,Poland,33
Emilio Nava,United States,33
Joao Pedro Sorgi,Brazil,33
Fabien Reboul,France,33
Robert Strombachs,Germany,33
Kenny De Schepper,France,33
Alexander Crnokrak,Australia,33
Jakub Paul,Switzerland,33
Dennis Uspensky,United States,33
Franco Agamenone,Argentina,32
Patrick Kypson,United States,32
Pablo Llamas Ruiz,Spain,32
Quentin Folliot,France,32
Matheus Pucinelli De Almeida,Brazil,32
Dragos Nicolae Madaras,Romania,32
Luke Johnson,United Kingdom,32
Cayetano March,Ecuador,32
Benjamin Dhoe,Belgium,32
Andrey Chepelev,Russian Federation,32
Alexander Brown,United States,31
Thiemo De Bakker,Netherlands,31
Rinky Hijikata,Australia,31
Simon Freund,Sweden,31
Justin Butsch,United States,31
Ronan Joncour,France,31
Michal Konecny,Czech Republic,31
Karl Friberg,Sweden,31
Carlos Lopez Montagud,Spain,31
Artem Smirnov,Ukraine,30
Gustav Hansson,Sweden,30
Scott Griekspoor,Netherlands,30
Nathan Ponwith,United States,30
Runhao Hua,China,30
Calum Puttergill,Australia,30
Naoki Nakagawa,Japan,30
Niels Lootsma,Netherlands,30
Giorgio Ricca,Italy,30
Austin Rapp,United States,30
Guido Ivan Justo,Argentina,30
Ryan Nijboer,Netherlands,30
Francesco Vilardo,Italy,30
Nam Hoang Ly,Viet Nam,29
Stuart Parker,United Kingdom,29
Boris Pokotilov,Russian Federation,29
Ivan Davydov,Russian Federation,29
Kirill Kivattsev,Russian Federation,29
Vladimir Ivanov,Estonia,29
Kento Takeuchi,Japan,29
Simone Roncalli,Italy,29
Luca Castelnuovo,Switzerland,29
Maxime Tchoutakian,France,29
Ante Pavic,Croatia,28
Stefan Seifert,Germany,28
Zeke Clark,United States,28
Dominik Boehler,Germany,28
Shalva Dzhanashia,Russian Federation,28
Connor Farren,United States,28
Benjamin Winter Lopez,Spain,28
Ignacio Monzon,Argentina,28
Daniel Brands,Germany,27
Keegan Smith,United States,27
Govind Nanda,United States,27
Gregoire Jacq,France,27
Luca Potenza,Italy,27
Peter Kobelt,United States,27
Tom Kocevar Desman,Slovenia,27
Nik Razborsek,Slovenia,27
Eric Vanshelboim,Ukraine,27
Jonathan Gray,United Kingdom,27
Moez Chargui,Tunisia,27
Markos Kalovelonis,Greece,27
Colin Sinclair,Australia,27
Omar Giacalone,Italy,26
Arthur Cazaux,France,26
Gonzalo Lama,Chile,26
Jaimee Floyd Angele,France,26
Michel Vernier,Chile,26
Filip Bergevi,Sweden,26
Francisco Comesana,Argentina,26
Brandon Walkin,Australia,26
Paul Woerner,Germany,26
Oleg Prihodko,Ukraine,26
Jared Donaldson,United States,25
Sergio Gutierrez Ferrol,Spain,25
Remy Bertola,Switzerland,25
Alec Adamson,United States,25
Maxim Ratniuk,Ukraine,25
Alessandro Petrone,Italy,25
Conner Huertas Del Pino,Peru,25
Hady Habib,Lebanon,24
Andrew Paulson,Czech Republic,24
Kuan Yi Lee,"Taiwan, Province of China",24
Guy Orly Iradukunda,Burundi,24
Ljubomir Celebic,Montenegro,24
Andrea Guerrieri,Italy,24
Dennis Novikov,United States,24
Mariano Navone,Argentina,24
Alejo Lorenzo Lingua Lavallen,Argentina,24
Marco Miceli,Italy,24
Bogdan Ionut Apostol,Romania,24
Alexander Cozbinov,"Moldova, Republic of",24
Kristian Lozan,Russian Federation,24
Riccardo Maiga,Switzerland,24
Chien Hsun Lo,"Taiwan, Province of China",24
Lorenzo Bocchi,Italy,24
Dragos Dima,Romania,24
Sebastian Prechtel,Germany,24
Albert Alcaraz Ivorra,Spain,23
Laurent Rochette,France,23
Henry Craig,United States,23
Andrey Golubev,Kazakhstan,23
Titouan Droguet,France,23
Harrison Adams,United States,23
Zachary Svajda,United States,23
Mehluli Don Ayanda Sibanda,Zimbabwe,23
Jose Olivares,Dominican Republic,23
Guy Den Heijer,Netherlands,23
Dan Alexandru Tomescu,Romania,23
Simon Yitbarek,Sweden,23
Bart Stevens,Netherlands,23
Nicolo Turchetti,Italy,23
Daniel Cukierman,Israel,22
Christian Harrison,United States,22
Luca Nardi,Italy,22
Billy Harris,United Kingdom,22
Gianluca Di Nicola,Italy,22
Nicolae Frunza,Romania,22
Juan Bautista Otegui,Argentina,22
Dane Sweeny,Australia,22
Alibek Kachmazov,Russian Federation,22
David Perez Sanz,Spain,22
Jonas Trinker,Austria,22
David Jorda Sanchis,Spain,22
Louis Tessa,France,22
Damien Wenger,Switzerland,22
Luis Faria,Brazil,22
Benjamin Pietri,France,22
Aziz Ouakaa,Tunisia,22
Toshihide Matsui,Japan,21
Aziz Kijametovic,Bosnia and Herzegovina,21
Tigre Hank,Mexico,21
Franco Emanuel Egea,Argentina,21
Joshua Ortlip,United States,21
Nicolas Barrientos,Colombia,21
Taisei Ichikawa,Japan,21
Sandro Kopp,Austria,21
Matteo Donati,Italy,20
Javier Marti,Spain,20
Justin Roberts,Bahamas,20
Gergely Madarasz,Hungary,20
Hiroyasu Ehara,Japan,20
Petr Michnev,Czech Republic,20
Mwendwa Mbithi,United States,20
Takashi Saito,Japan,20
Soichiro Moritani,Japan,20
Kenneth Raisma,Estonia,20
Yan Sabanin,Russian Federation,20
Federico Iannaccone,Italy,20
Tomas Jirousek,Czech Republic,20
Ondrej Krstev,Czech Republic,20
Peter Bothwell,Ireland,20
Majed Kilani,Tunisia,20
Alejandro Mendoza,"Bolivia, Plurinational State of",20
Igor Ribeiro Marcondes,Brazil,19
Ye Cong Mo,China,19
Jan Zielinski,Poland,19
Cezar Cretu,Romania,19
Peter Bertran,Dominican Republic,19
Julius Tverijonas,Lithuania,19
Chukang Wang,China,19
