Rafael Nadal,Spain,9985
Novak Djokovic,Serbia,9145
Roger Federer,Switzerland,6590
Dominic Thiem,Austria,5825
Daniil Medvedev,Russian Federation,5705
Stefanos Tsitsipas,Greece,5300
Alexander Zverev,Germany,3345
Matteo Berrettini,Italy,2870
Roberto Bautista Agut,Spain,2540
Gael Monfils,France,2530
David Goffin,Belgium,2335
Fabio Fognini,Italy,2290
Kei Nishikori,Japan,2180
Diego Sebastian Schwartzman,Argentina,2125
Denis Shapovalov,Canada,2050
Stan Wawrinka,Switzerland,2000
Karen Khachanov,Russian Federation,1840
Alex De Minaur,Australia,1775
John Isner,United States,1770
Grigor Dimitrov,Bulgaria,1747
Felix Auger Aliassime,Canada,1636
Lucas Pouille,France,1600
Andrey Rublev,Russian Federation,1584
Benoit Paire,France,1538
Guido Pella,Argentina,1530
Nikoloz Basilashvili,Georgia,1450
Pablo Carreno Busta,Spain,1422
Borna Coric,Croatia,1415
Jo Wilfried Tsonga,France,1410
Nick Kyrgios,Australia,1395
Milos Raonic,Canada,1350
Taylor Harry Fritz,United States,1315
Christian Garin,Chile,1297
Dusan Lajovic,Serbia,1296
Jan Lennard Struff,Germany,1245
Reilly Opelka,United States,1243
Hubert Hurkacz,Poland,1198
Laslo Djere,Serbia,1171
Marin Cilic,Croatia,1165
Filip Krajinovic,Serbia,1148
Albert Ramos,Spain,1130
Daniel Evans,United Kingdom,1124
Adrian Mannarino,France,1111
Sam Querrey,United States,1100
Pablo Cuevas,Uruguay,1097
Radu Albot,"Moldova, Republic of",1067
Frances Tiafoe,United States,1050
John Millman,Australia,1026
Fernando Verdasco,Spain,1025
Juan Ignacio Londero,Argentina,1017
Jeremy Chardy,France,990
Lorenzo Sonego,Italy,990
Cameron Norrie,United Kingdom,975
Casper Ruud,Norway,956
Gilles Simon,France,955
Alexander Bublik,Kazakhstan,919
Ugo Humbert,France,912
Aljaz Bedene,Slovenia,905
Miomir Kecmanovic,Serbia,901
Joao Sousa,Portugal,891
Richard Gasquet,France,890
Feliciano Lopez,Spain,888
Jordan Thompson,Australia,878
Pablo Andujar,Spain,867
Pierre Hugues Herbert,France,865
Ricardas Berankis,Lithuania,836
Mikhail Kukushkin,Kazakhstan,816
Tennys Sandgren,United States,803
Kyle Edmund,United Kingdom,800
Marton Fucsovics,Hungary,790
Marco Cecchinato,Italy,780
Andreas Seppi,Italy,776
Yoshihito Nishioka,Japan,764
Mikael Ymer,Sweden,763
Hugo Dellien,"Bolivia, Plurinational State of",743
Federico Delbonis,Argentina,732
Nicolas Jarry,Chile,695
Jannik Sinner,Italy,671
Philipp Kohlschreiber,Germany,665
Roberto Carballes Baena,Spain,664
Yasutaka Uchiyama,Japan,651
Gregoire Barrere,France,648
Corentin Moutet,France,638
Stefano Travaglia,Italy,637
Steve Johnson,United States,630
Jaume Munar,Spain,628
Alejandro Davidovich Fokina,Spain,627
Soon Woo Kwon,"Korea, Republic of",622
